url_length,hyphen_count,dot_count,digit_count,entropy,subdomain_depth,has_https,is_ip_address,has_at_symbol,path_length,query_param_count,special_char_count,brand_impersonation_score,brand_matched_count,brand_keyword_hit_count,brand_typosquat_hit_count,brand_has_action_word,tld_risk_score,tld_known,idn_is_homograph,idn_confusable_count,idn_risk_score,idn_punycode_flag,dns_resolves,dns_a_record_count,dns_has_aaaa,dns_has_mx,whois_domain_age_days,whois_recently_registered,whois_privacy_protected,whois_found,ssl_valid,ssl_self_signed,ssl_days_until_expiry,ssl_expired,visual_similarity_score,dom_credential_form_detected,aggregate_lexical_risk_score,whois_registrar_was_missing,whois_domain_age_days_was_missing,ssl_days_until_expiry_was_missing,ssl_issuer_was_missing,ssl_expired_was_missing,visual_similarity_score_was_missing,dom_credential_form_detected_was_missing,category_was_missing,tld_freq,whois_registrar_freq,category_freq,ssl_issuer_google_trust_services,ssl_issuer_let's_encrypt,ssl_issuer_digicert_inc,ssl_issuer_amazon,ssl_issuer_globalsign_nv_sa,ssl_issuer_sectigo_limited,ssl_issuer_godaddycom_inc,ssl_issuer_godaddycom,ssl_issuer_hellenic_academic_and_research_institutions_ca,ssl_issuer_microsoft_corporation,ssl_issuer_other,ssl_issuer_missing
32,1,1,0,3.4613,0,1,0,0,6,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,0,0,0,0,3019.0,0,1,1,0,0,-1.0,-1,-1.0,-1,0.1142,0,0,1,1,1,1,1,1,0.358292,0.035479,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
21,0,2,0,2.9219,1,0,0,0,3,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,1,0,0,10559.0,0,0,1,1,0,67.0,0,0.4375,0,0.2084,0,0,0,0,0,0,0,1,0.005569,0.000619,0.778259,0,1,0,0,0,0,0,0,0,0,0,0
40,1,1,0,3.5,0,1,0,0,16,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,1,0,1,-1.0,0,0,0,0,0,-1.0,-1,0.0312,0,0.22,1,1,1,1,1,0,0,1,0.000413,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
46,4,2,2,4.4058,1,0,0,0,0,0,0,0.1667,2,0,2,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,67.0,0,0.375,0,0.3048,1,1,0,0,0,0,0,0,0.110974,0.573432,0.050124,1,0,0,0,0,0,0,0,0,0,0,0
28,1,2,1,3.6819,1,1,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,75.0,0,0.5,0,0.2236,1,1,0,0,0,0,0,1,0.110974,0.573432,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
29,0,2,0,3.0958,1,1,0,0,10,0,0,0.25,3,0,3,0,0.5,0,0,0,0.0,0,1,1,0,1,-1.0,0,0,0,0,0,-1.0,-1,0.0312,0,0.3119,1,1,1,1,1,0,0,0,0.008663,0.573432,0.032178,0,0,0,0,0,0,0,0,0,0,0,1
30,0,2,0,3.3088,1,1,0,0,0,0,0,0.0,0,0,0,0,0.1,1,0,0,0.0,0,1,1,0,0,9939.0,0,0,1,1,0,154.0,0,0.1875,0,0.0962,0,0,0,0,0,0,0,1,0.024959,0.000206,0.778259,0,0,0,0,0,1,0,0,0,0,0,0
37,0,1,0,3.4183,0,1,0,0,17,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.0312,0,0.1134,1,1,1,1,1,0,0,1,0.358292,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
33,2,1,5,3.8635,0,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,1,0,0.6,1,1,1,0,1,5066.0,0,0,1,1,0,134.0,0,0.1875,0,0.2423,0,0,0,0,0,0,0,1,0.358292,0.007219,0.778259,0,0,0,0,0,1,0,0,0,0,0,0
48,0,1,0,3.9149,0,1,0,0,17,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,2,0,1,8069.0,0,1,1,1,0,59.0,0,0.125,0,0.1233,0,0,0,0,0,0,0,1,0.358292,0.063325,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
67,2,2,2,4.1754,1,1,0,0,21,0,0,0.0833,1,0,1,0,0.35,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,78.0,0,0.3125,0,0.2218,1,1,0,0,0,0,0,0,0.099216,0.573432,0.10396,1,0,0,0,0,0,0,0,0,0,0,0
